ts,bot_variant,exchange,trading_pair,state,regime,mid,equity_quote,base_pct,target_base_pct,spread_pct,spread_floor_pct,net_edge_pct,skew,adverse_drift_30s,soft_pause_edge,base_balance,quote_balance,turnover_today_x,cancel_per_min,orders_active
2026-02-20T00:45:29.635957+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67246.9250000000,77246.9250000000,0.8705450087495392211405178912,0.50,0.0025,0.0025,-0.00050,0.002,0,True,1,10000,0E+10,0,0
2026-02-20T00:46:00.652114+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67284.6750000000,77284.6750000000,0.8706082415433590165191223228,0.50,0.0025,0.0025,-0.001061363958277646152593594428,0.002,0.0005613639582776461525935944283,True,1,10000,0E+10,0,0
2026-02-20T00:47:00.679953+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67257.8650000000,77257.8650000000,0.8705633400560577230551219607,0.50,0.0025,0.0025,-0.0009333673542558910874719160195,0.002,0.0004333673542558910874719160195,True,1,10000,0E+10,0,0
2026-02-20T00:47:55.337549+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67242.0250000000,77242.0250000000,0.8705367965171808999052005692,0.50,0.0025,0.0025,-0.00050,0.002,0,True,1,10000,0E+10,0,0
2026-02-20T00:48:00.326695+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67242.0250000000,77242.0250000000,0.8705367965171808999052005692,0.50,0.0025,0.0025,-0.00050,0.002,0,True,1,10000,0E+10,0,0
2026-02-20T00:49:00.359940+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67274.3350000000,77274.3350000000,0.8705909277640499915010591809,0.50,0.0025,0.0025,-0.0007661455368545775582663577099,0.002,0.0002661455368545775582663577099,True,1,10000,0E+10,0,0
2026-02-20T00:50:00.379706+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67259.4050000000,77259.4050000000,0.8705659200973654922659577821,0.50,0.0025,0.0025,-0.0006058475965571285271537365725,0.002,0.0001058475965571285271537365725,True,1,10000,0E+10,0,0
2026-02-20T00:51:00.406023+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67253.6050000000,77253.6050000000,0.8705562025228466684499707166,0.50,0.0025,0.0025,-0.0006058791400026335949009082036,0.002,0.0001058791400026335949009082036,True,1,10000,0E+10,0,0
2026-02-20T00:52:00.431757+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67257.2150000000,77257.2150000000,0.8705622510467145366293620602,0.50,0.0025,0.0025,-0.0005026762856337210205658426111,0.002,0.000002676285633721020565842611062,True,1,10000,0E+10,0,0
2026-02-20T00:53:00.458355+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67223.4650000000,77223.4650000000,0.8705056811423833416436312460,0.50,0.002564416018582756843439544637,0.002564416018582756843439544637,-0.0007277807794616026423553611208,0.002,0.0002535471868947053797311789758,True,1,10000,0E+10,0,0
2026-02-20T00:54:00.491662+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67235.2150000000,77235.2150000000,0.8705253814597395760470143056,0.50,0.002564416018582756843439544637,0.002564416018582756843439544637,-0.0005579764864134084377266314610,0.002,0.00008374289384651117510244931603,True,1,10000,0E+10,0,0
2026-02-20T00:55:00.514459+00:00,d,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67232.1950000000,77232.1950000000,0.8705203186313686928100386115,0.50,0.002564416018582756843439544637,0.002564416018582756843439544637,-0.0005044265486097459754635136016,0.002,0.00003019295604284871283933145656,True,1,10000,0E+10,0,0
