date,equity,drawdown_pct,daily_return_pct,cumulative_return_pct,position_notional,num_fills
2026-02-23,5000,0.0,0.0,0.0,0E-10,0
2026-02-24,5000,0.0,0.0,0.0,0E-10,0
2026-02-25,5000,0.0,0.0,0.0,0E-10,0
2026-02-26,5000,0.0,0.0,0.0,0E-10,0
2026-02-27,5000,0.0,0.0,0.0,0E-10,0
2026-02-28,5000,0.0,0.0,0.0,0E-10,0
2026-03-01,5000,0.0,0.0,0.0,0E-10,0
2026-03-02,5000,0.0,0.0,0.0,0E-10,0
2026-03-03,5000,0.0,0.0,0.0,0E-10,0
2026-03-04,5000,0.0,0.0,0.0,0E-10,0
2026-03-05,5000,0.0,0.0,0.0,0E-10,0
2026-03-06,5000,0.0,0.0,0.0,0E-10,0
2026-03-07,5000,0.0,0.0,0.0,0E-10,0
2026-03-08,5000,0.0,0.0,0.0,0E-10,0
2026-03-09,5000,0.0,0.0,0.0,0E-10,0
2026-03-10,5000,0.0,0.0,0.0,0E-10,0
2026-03-11,5000,0.0,0.0,0.0,0E-10,0
2026-03-12,5000,0.0,0.0,0.0,0E-10,0
2026-03-13,5000,0.0,0.0,0.0,0E-10,0
2026-03-14,5000,0.0,0.0,0.0,0E-10,0
2026-03-15,5000,0.0,0.0,0.0,0E-10,0
2026-03-15,5000,0.0,0.0,0.0,0.0,0
